"ID Científico","Nombre Completo","Especialidad","Grado Académico","Institución","País","Nivel de Acceso","Estado","Correo Electrónico","Fecha Nacimiento","Fecha Ingreso","Publicaciones"
"CE-84120","Gustavo García Mendoza","Epidemiología Computacional","Ph.D. en Química","Universidad del Cauca","Venezuela","NIVEL-5 Umbra","Activo","gustavo.garcía.mendo@umbrella-corp.com","27/11/1985","18/02/2012","47"
"CE-18175","Laura Salazar Ríos","Oncología Molecular","M.D. Ph.D.","Universidad Nacional de Colombia","Colombia","NIVEL-3 Confidencial","Activo","laura.salazar.ríos@hcf-research.net","10/04/1961","14/01/2017","89"
"CE-80105","Héctor Morales Salazar","Genética Forense","Ph.D. en Bioquímica","Universidad de Córdoba","Brasil","NIVEL-1 Básico","En revisión","héctor.morales.salaz@hcf-research.net","13/03/1977","11/12/2012","56"
"CE-99739","Roberto Sánchez Díaz","Bioquímica Estructural","Doctorado en Microbiología","Universidad de Antioquia","Argentina","NIVEL-3 Confidencial","Activo","roberto.sánchez.díaz@arklay-science.com","20/08/1989","09/01/2019","83"
"CE-42746","Pablo Ríos Rodríguez","Genética Forense","Doctorado en Medicina","Pontificia Universidad Javeriana","Argentina","NIVEL-4 Secreto","Activo","pablo.ríos.rodríguez@nest-lab.org","02/11/1980","23/02/2020","83"
"CE-14668","Felipe Muñoz Torres","Virología Molecular","Ph.D. en Bioquímica","Centro Internacional de Agricultura Tropical","México","NIVEL-1 Básico","Activo","felipe.muñoz.torres@hcf-research.net","11/03/1981","08/08/2015","100"
"CE-79239","Patricia Cruz Medina","Biología Sintética","M.Sc. Genómica","UNAL Medellín","Ecuador","NIVEL-3 Confidencial","Activo","patricia.cruz.medina@hcf-research.net","02/05/1972","25/06/2011","97"
"CE-32070","Andrea Pérez Reyes","Neurociencias","M.Sc. Biotecnología","Universidad Tecnológica de Pereira","Uruguay","NIVEL-1 Básico","Activo","andrea.pérez.reyes@nest-lab.org","23/07/1969","23/09/2021","30"
"CE-91508","Lucía González Vega","Farmacología Experimental","M.D. Ph.D.","Universidad de Córdoba","México","NIVEL-2 Restringido","Activo","lucía.gonzález.vega@nest-lab.org","26/10/1977","26/02/2017","40"
"CE-99565","Fernando García García","Biotecnología Genómica","Ph.D. en Ciencias Biológicas","Universidad del Valle","Uruguay","NIVEL-3 Confidencial","Suspendido","fernando.garcía.garc@arklay-science.com","09/06/1987","12/10/2013","28"
"CE-28601","Alejandro Ruiz Salazar","Genética Forense","Ph.D. en Farmacología","Instituto Nacional de Salud","México","NIVEL-3 Confidencial","Activo","alejandro.ruiz.salaz@hcf-research.net","04/04/1979","20/08/2020","6"
"CE-18547","Pablo Castro Cruz","Genética Forense","M.D. Ph.D.","Universidad Industrial de Santander","Colombia","NIVEL-4 Secreto","Activo","pablo.castro.cruz@progenitor.edu","04/04/1970","01/02/2011","77"
"CE-83541","Valeria Pérez González","Neurociencias","Doctorado en Biología Molecular","CINARA","Uruguay","NIVEL-1 Básico","Activo","valeria.pérez.gonzál@progenitor.edu","23/09/1982","08/03/2022","45"
"CE-76235","Roberto Ortega Pérez","Criobiología","Ph.D. en Farmacología","Pontificia Universidad Javeriana","Venezuela","NIVEL-2 Restringido","Activo","roberto.ortega.pérez@umbrella-corp.com","09/04/1972","10/11/2010","52"
"CE-35340","Catalina López Díaz","Parasitología Molecular","M.Sc. Biotecnología","Universidad Tecnológica de Pereira","México","NIVEL-4 Secreto","Activo","catalina.lópez.díaz@progenitor.edu","26/07/1981","18/03/2016","51"
"CE-23984","Paula Reyes Ortega","Parasitología Molecular","Ph.D. en Ciencias Biológicas","UNAL Medellín","Chile","NIVEL-2 Restringido","Activo","paula.reyes.ortega@hcf-research.net","18/10/1981","26/06/2011","107"
"CE-34423","Iván Romero Ruiz","Virología Molecular","M.Sc. Biotecnología","Universidad Industrial de Santander","España","NIVEL-5 Umbra","Suspendido","iván.romero.ruiz@progenitor.edu","07/09/1982","28/02/2023","35"
"CE-56653","Fernando Romero Ramos","Farmacología Experimental","Doctorado en Microbiología","Universidad de Córdoba","España","NIVEL-3 Confidencial","Activo","fernando.romero.ramo@nest-lab.org","04/04/1970","26/05/2021","19"
"CE-68665","Isabela Ríos Castillo","Bioquímica Estructural","Ph.D. en Bioquímica","Centro Internacional de Agricultura Tropical","Argentina","NIVEL-2 Restringido","En revisión","isabela.ríos.castill@progenitor.edu","25/11/1980","27/09/2018","74"
"CE-95567","Alberto Jiménez Pérez","Biología Sintética","Ph.D. en Química","Universidad de Antioquia","Uruguay","NIVEL-3 Confidencial","En revisión","alberto.jiménez.pére@hcf-research.net","03/02/1984","04/06/2023","54"
"CE-85121","Ramón López Pérez","Parasitología Molecular","Ph.D. en Neurociencias","Universidad de Antioquia","Venezuela","NIVEL-3 Confidencial","Activo","ramón.lópez.pérez@arklay-science.com","02/02/1967","11/09/2020","10"
"CE-90786","Ricardo Castro Jiménez","Microbiología Clínica","Ph.D. en Farmacología","Universidad del Valle","Argentina","NIVEL-3 Confidencial","Activo","ricardo.castro.jimén@umbrella-corp.com","24/05/1964","26/03/2018","82"
"CE-84643","Daniela Ortega Ortega","Criobiología","M.Sc. Biotecnología","Universidad de Córdoba","Chile","NIVEL-5 Umbra","Suspendido","daniela.ortega.orteg@hcf-research.net","09/08/1987","19/11/2021","91"
"CE-21692","Pablo García Vega","Nanotecnología Biomédica","Ph.D. en Farmacología","Universidad del Valle","Brasil","NIVEL-1 Básico","Activo","pablo.garcía.vega@umbrella-corp.com","26/06/1977","13/11/2011","52"
